userID,carid,Rating,Date
98305,1999,5, 05/14/2020
104494,1999,5, 07/04/2020
32756,1999,5, 08/07/2020
85015,1999,4, 09/29/2020
69336,1999,3, 04/11/2020
90632,1999,5, 10/12/2020
28005,1999,5, 03/21/2020
115455,1999,2, 07/03/2020
123687,1999,2, 07/31/2020
37300,1999,5, 03/09/2020
55097,1999,5, 11/23/2020
79690,1999,5, 11/24/2020
88534,1999,4, 12/02/2020
164645,2289,4, 08/03/2012
188479,2289,5, 12/22/2012
183928,2289,4, 10/31/2012
194919,2289,5, 11/15/2012
153935,2289,4, 04/27/2012
194919,2289,4, 02/15/2013
189853,2289,4, 09/20/2012
179415,2289,4, 08/20/2012
207702,2289,4, 02/23/2013
131827,2289,4, 05/29/2012
208814,2289,4, 06/20/2013
142879,2289,4, 09/17/2013
139064,2289,4, 12/19/2012
103918,2289,2, 09/02/2015
166117,2289,5, 09/13/2012
159406,2289,5, 11/29/2015
209272,2289,4, 01/04/2013
148612,2289,4, 01/26/2013
148645,2289,5, 10/31/2012
91169,2289,4, 02/07/2016
171979,2289,4, 05/24/2013
204183,2289,3, 08/05/2013
157214,2289,4, 02/17/2013
152588,2289,4, 09/23/2012
189107,2289,4, 06/27/2012
191479,2289,4, 01/22/2014
204639,2289,4, 02/22/2014
175031,2289,4, 01/15/2013
187298,2289,5, 05/25/2013
147473,2289,4, 06/30/2012
137900,2289,4, 09/10/2012
139446,2289,4, 05/31/2012
199281,2289,4, 07/10/2013
190766,2289,5, 09/20/2012
207702,2289,4, 11/11/2013
33351,2289,4, 07/05/2018
141175,2289,4, 06/28/2012
183810,2289,4, 07/23/2014
166079,2289,3, 09/01/2012
199281,2289,4, 02/14/2013
128540,2289,2, 07/24/2013
205692,2289,3, 07/09/2013
133778,2289,4, 04/13/2014
94593,2289,4, 06/19/2018
134758,2289,5, 08/25/2012
77224,2289,5, 10/14/2016
24813,2289,4, 11/13/2016
22871,2289,5, 04/03/2018
5853,2289,5, 04/20/2018
65809,2289,5, 02/06/2020
182361,2289,3, 06/24/2014
177412,2289,1, 01/14/2015
210422,2289,2, 05/24/2014
154901,2289,3, 12/22/2012
150682,2289,5, 09/06/2013
174061,2289,4, 06/30/2012
186005,2289,5, 05/13/2012
208255,2289,4, 10/30/2013
145896,2289,5, 06/03/2012
30173,2289,1, 02/07/2017
149256,2289,4, 03/21/2013
171882,2289,4, 09/07/2012
182361,2289,4, 07/27/2013
138254,2289,2, 01/26/2018
51129,2289,4, 03/28/2018
89124,2289,5, 06/20/2018
182361,2289,3, 02/19/2013
125330,2289,4, 03/26/2013
142941,2289,2, 09/27/2012
191816,2289,2, 08/22/2012
138986,2289,4, 03/04/2013
128140,2289,2, 06/27/2013
177131,2289,4, 05/15/2013
152312,2289,3, 12/24/2012
136949,2289,3, 03/15/2013
190620,2289,4, 01/15/2013
129345,2289,2, 12/28/2012
188097,2289,3, 06/01/2012
142941,2289,2, 11/06/2012
40688,2289,4, 12/03/2020
162309,2355,5, 04/23/2014
149673,2355,4, 04/01/2014
212181,2355,4, 08/20/2013
185576,2355,5, 07/17/2013
191191,2355,5, 07/29/2013
11824,2355,3, 02/15/2016
86884,2355,5, 03/08/2018
172336,2355,5, 06/13/2015
205665,2355,3, 12/01/2013
119490,2355,4, 04/15/2016
190439,2355,4, 08/23/2013
204696,2355,2, 01/25/2015
179792,2355,2, 08/08/2014
182909,2355,3, 05/27/2015
57636,2355,5, 02/03/2018
92915,2355,5, 05/21/2018
5244,2355,5, 09/28/2018
135933,2355,5, 08/25/2014
206064,2355,4, 06/04/2013
179857,2355,5, 08/03/2015
205665,2355,3, 12/19/2013
139128,2355,5, 08/02/2013
149344,2355,5, 03/03/2014
13484,2355,5, 02/08/2020
157373,2355,4, 05/11/2015
151997,2355,1, 05/16/2017
74745,2355,2, 06/21/2017
145779,2355,3, 08/02/2013
167740,2355,1, 06/21/2017
78324,2355,4, 01/03/2018
182361,2355,4, 12/31/2013
185074,2355,5, 09/14/2019
159572,2355,5, 08/28/2013
203818,2355,5, 06/22/2013
190620,2355,3, 12/02/2013
131464,2355,2, 08/07/2013
187797,2355,4, 09/30/2013
135955,2355,4, 03/15/2016
189852,2355,3, 09/30/2013
43583,2355,4, 06/18/2020
191789,911,4, 07/17/2014
175308,911,4, 01/18/2015
189003,911,4, 03/20/2015
133918,911,5, 07/25/2014
43262,911,4, 02/04/2016
61387,911,4, 10/03/2015
51866,911,5, 07/12/2018
19169,911,4, 05/02/2018
152480,911,4, 12/31/2014
14313,911,5, 04/08/2018
139539,911,4, 02/07/2015
85470,911,2, 12/17/2015
52891,911,5, 11/08/2017
125506,911,4, 01/02/2015
74151,911,5, 11/23/2015
114974,911,4, 10/24/2018
19828,911,1, 07/19/2015
96536,911,5, 09/27/2016
989,911,3, 01/24/2018
108774,911,5, 11/21/2015
71426,911,3, 04/18/2018
88008,911,5, 12/28/2016
40180,911,5, 05/10/2016
134194,911,3, 03/29/2018
69181,911,5, 05/07/2020
14313,762,4, 11/18/2015
14313,1887,4, 11/18/2015
109103,762,5, 12/07/2015
109103,1887,5, 12/07/2015
95035,762,3, 11/23/2015
95035,1887,3, 11/23/2015
90769,762,5, 07/30/2016
90769,1887,5, 07/30/2016
108721,762,5, 10/28/2015
108721,1887,5, 10/28/2015
70017,762,5, 08/09/2015
70017,1887,5, 08/09/2015
121458,762,4, 07/29/2016
121458,1887,4, 07/29/2016
30313,762,5, 02/29/2016
30313,1887,5, 02/29/2016
23748,762,4, 11/16/2018
23748,1887,4, 11/16/2018
107853,762,5, 05/29/2016
107853,1887,5, 05/29/2016
113493,762,5, 09/02/2015
113493,1887,5, 09/02/2015
80198,762,2, 04/21/2016
80198,1887,2, 04/21/2016
42958,762,5, 04/23/2016
42958,1887,5, 04/23/2016
84296,762,5, 04/08/2016
84296,1887,5, 04/08/2016
54319,762,5, 04/19/2016
